State,RegionName
New York,Brockport
New York,Buffalo
New York,Canton
New York,Clinton
New York,Cobleskill
New York,Delhi
New York,Fredonia
New York,Geneseo
New York,Geneva
New York,Hamilton
New York,Ithaca
New York,"Morningside Heights, Manhattan"
New York,New Paltz
New York,Oneonta
New York,Oswego
New York,Plattsburgh
New York,Potsdam
New York,Poughkeepsie
New York,Purchase
New York,Rochester
New York,Saratoga Springs
New York,Seneca Falls
New York,Stony Brook
New York,Syracuse
New York,Tivoli
New York,Troy
New York,West Point
North Carolina,Banner Elk
North Carolina,Boiling Springs
North Carolina,Boone
North Carolina,Buies Creek
North Carolina,Chapel Hill
North Carolina,Cullowhee
North Carolina,Davidson
North Carolina,Durham
North Carolina,Elon
North Carolina,Greensboro
North Carolina,Greenville
North Carolina,Hickory
North Carolina,Mars Hill
North Carolina,Mount Olive
North Carolina,Pembroke
North Carolina,"Wilmington, North Carolina"
North Carolina,Wingate
North Carolina,Winston-Salem
North Dakota,Fargo
North Dakota,Grand Forks
Ohio,Ada
Ohio,Alliance
Ohio,Ashland
Ohio,Athens
Ohio,Berea
Ohio,Bluffton
Ohio,Bowling Green
Ohio,Cedarville
Ohio,Columbus
Ohio,Delaware
Ohio,Fairborn
Ohio,Findlay
Ohio,Gambier
Ohio,Granville
Ohio,Hiram
Ohio,Kent
Ohio,Nelsonville
Ohio,New Concord
Ohio,Oberlin
Ohio,Oxford
Ohio,Rio Grande
Ohio,Wilberforce
Oklahoma,Ada
Oklahoma,Alva
Oklahoma,Durant
Oklahoma,Edmond
Oklahoma,Goodwell
Oklahoma,Langston
Oklahoma,Norman
Oklahoma,Stillwater
Oklahoma,Tahlequah
Oklahoma,Tulsa
Oklahoma,Weatherford
Oregon,Ashland
Oregon,Corvallis
Oregon,Eugene
Oregon,Forest Grove
Oregon,Klamath Falls
Oregon,La Grande
Oregon,Marylhurst
Oregon,McMinnville
Oregon,Monmouth
Oregon,Newberg
Pennsylvania,Altoona
Pennsylvania,Annville
Pennsylvania,Bethlehem
Pennsylvania,Bloomsburg
Pennsylvania,Bradford
Pennsylvania,California
Pennsylvania,Carlisle
Pennsylvania,"Cecil B. Moore, Philadelphia, also known as ""Templetown"""
Pennsylvania,Clarion
Pennsylvania,Collegeville
Pennsylvania,Cresson
Pennsylvania,East Stroudsburg
Pennsylvania,Edinboro
Pennsylvania,Erie
Pennsylvania,Gettysburg
Pennsylvania,Greensburg
Pennsylvania,Grove City
Pennsylvania,Huntingdon
Pennsylvania,Indiana
Pennsylvania,Johnstown
Pennsylvania,Kutztown
Pennsylvania,Lancaster
Pennsylvania,Lewisburg
Pennsylvania,Lock Haven
Pennsylvania,Loretto
Pennsylvania,Mansfield
Pennsylvania,Meadville
Pennsylvania,Mont Alto
Pennsylvania,Millersville
Pennsylvania,New Wilmington
Pennsylvania,North East
Pennsylvania,"University City, Philadelphia"
Pennsylvania,"Oakland, Pittsburgh"
Pennsylvania,Reading
Pennsylvania,Selinsgrove
Pennsylvania,Shippensburg
Pennsylvania,Slippery Rock
Pennsylvania,State College
Pennsylvania,Villanova
Pennsylvania,Waynesburg
Pennsylvania,West Chester
Pennsylvania,Wilkes-Barre
Pennsylvania,Williamsport
Rhode Island,Kingston
Rhode Island,Providence
South Carolina,Central
South Carolina,Charleston
South Carolina,Clemson
South Carolina,Clinton
South Carolina,Columbia
South Carolina,Due West
South Carolina,Florence
South Carolina,Greenwood
South Carolina,Orangeburg
South Carolina,Rock Hill
South Carolina,Spartanburg
South Dakota,Brookings
South Dakota,Madison
South Dakota,Spearfish
South Dakota,Vermillion
Tennessee,Chattanooga
Tennessee,Collegedale
Tennessee,Cookeville
Tennessee,Harrogate
Tennessee,Henderson
Tennessee,Johnson City
Tennessee,Knoxville
Tennessee,Martin
Tennessee,McKenzie
Tennessee,Memphis
Tennessee,Murfreesboro
Tennessee,Nashville
Tennessee,Sewanee
Texas,Abilene
Texas,Alpine
Texas,Austin
Texas,Beaumont
Texas,Canyon
Texas,College Station
Texas,Commerce
Texas,Dallas
Texas,Denton
Texas,Fort Worth
Texas,Georgetown
Texas,Huntsville
Texas,Houston
Texas,Keene
Texas,Kingsville
Texas,Lubbock
Texas,Nacogdoches
Texas,Plainview
Texas,Prairie View
Texas,San Marcos
Texas,Stephenville
Texas,Waco
Utah,Cedar City
Utah,Logan
Utah,Provo
Utah,Orem
Utah,Salt Lake City
Utah,Ephraim
Vermont,Burlington
Vermont,Castleton
Vermont,Johnson
Vermont,Lyndonville
Vermont,Middlebury
Vermont,Northfield
Virginia,Blacksburg
Virginia,Bridgewater
Virginia,Charlottesville
Virginia,Farmville
Virginia,Fredericksburg
Virginia,Harrisonburg
Virginia,Lexington
Virginia,Lynchburg
Virginia,Radford
Virginia,Williamsburg
Virginia,Wise
Virginia,Chesapeake
Washington,Bellingham
Washington,Cheney
Washington,Ellensburg
Washington,Pullman
Washington,"University District, Seattle"
West Virginia,Athens
West Virginia,Buckhannon
West Virginia,Fairmont
West Virginia,Glenville
West Virginia,Huntington
West Virginia,Montgomery
West Virginia,Morgantown
West Virginia,Shepherdstown
West Virginia,West Liberty
Wisconsin,Appleton
Wisconsin,Eau Claire
Wisconsin,Green Bay
Wisconsin,La Crosse
Wisconsin,Madison
Wisconsin,Menomonie
Wisconsin,Milwaukee
Wisconsin,Oshkosh
Wisconsin,Platteville
Wisconsin,River Falls
Wisconsin,Stevens Point
Wisconsin,Waukesha
Wisconsin,Whitewater
Wyoming,Laramie
